year,revenue,net_profit,total_assets,equity,current_assets,current_liabilities
2020,51393.47,15592.78,77367.04,65273.26,39505.35,9559.77
2021,49257.00,13383.00,73819.30,60347.00,34992.00,10690.00
2022,60645.00,15503.00,77260.00,62456.00,30942.01,12164.00
2023,70919.00,19477.00,85883.00,69155.00,35203.44,13739.00
2024,67932.00,20751.00,91826.16,74507.00,41065.54,13690.40
